particle_number,contour_number,area_from_moment,fancy_area,arch_length,feret_x,feret_y,convexity,aspect_ratio,elongation
150,0,1102,1102,215.966,5,5,0.710738,0,1.59393
151,1,2,2,5.65685,32,57,1,1,999
152,2,2,2,5.65685,6,48,1,1,999
153,3,2,2,5.65685,9,20,1,1,999
154,4,2,2,5.65685,32,13,1,1,999
155,5,2,2,5.65685,24,13,1,1,999
156,6,2,2,5.65685,34,9,1,1,999
157,7,2,2,5.65685,32,9,1,1,999
158,8,2,2,5.65685,23,8,1,1,999
159,9,2,2,5.65685,19,8,1,1,999
160,10,2,2,5.65685,17,7,1,1,999
161,0,59,59,40.2843,5,5,0.7375,1,1.53919
162,0,280,280,82.5685,5,5,0.844646,0,1.28447
163,1,2,2,5.65685,12,23,1,1,999
164,2,2,2,5.65685,12,7,1,1,999
165,0,63.5,63.5,34.3848,5,5,0.900709,1,1.73048
166,1,2,2,5.65685,8,6,1,1,999
167,0,29.5,29.5,23.8995,5,5,0.893939,1,1.85752
168,0,140,140,90.0833,5,5,0.703518,2,3.09892
169,1,2,2,5.65685,24,10,1,1,999
170,2,4,4,7.65685,26,9,1,1,1.41421
171,0,9.5,9.5,17.5563,5,5,0.730769,1,1.68798
172,0,50.5,50.5,35.2132,5,5,0.782946,1,1.75344
173,1,2,2,5.65685,10,5,1,1,999
174,0,86.5,86.5,54.8701,5,5,0.765487,2,3.22209
175,1,2,2,5.65685,13,10,1,1,999
176,0,80.5,80.5,38.8701,5,5,0.879781,1,1.26407
177,0,6.5,6.5,17.0711,5,5,0.565217,1,1.64527
178,0,22,22,21.3137,5,5,0.862745,1,2.44497
179,0,109.5,109.5,40.3848,5,5,0.948052,1,1.09307
180,0,373.5,373.5,119.64,5,5,0.819978,2,3.92847
181,1,2,2,5.65685,15,15,1,1,999
182,2,2,2,5.65685,21,8,1,1,999
183,0,207,207,77.2548,5,5,0.850103,1,1.99297
184,0,210.5,210.5,97.0122,5,5,0.664038,2,2.47849
185,0,5,5,8.82843,5,5,1,1,1
186,0,73.5,73.5,64.1838,5,5,0.554717,0,1.9471
187,1,2,2,5.65685,6,20,1,1,999
188,2,2,2,5.65685,8,13,1,1,999
189,0,122,122,106.711,5,5,0.491935,1,2.23286
190,1,2,2,5.65685,26,14,1,1,999
191,2,2,2,5.65685,21,13,1,1,999
192,3,2,2,5.65685,18,12,1,1,999
193,4,2,2,5.65685,16,11,1,1,999
194,0,12,12,14.4853,5,5,0.96,1,2.05133
195,0,25,25,25.3137,5,5,0.78125,0,2.3977
196,0,74.5,74.5,38.0416,5,5,0.876471,1,1.60394
197,1,4,4,7.65685,13,13,1,1,1.41421
198,2,2,2,5.65685,6,10,1,1,999
199,0,29.5,29.5,25.5563,5,5,0.842857,1,1.85293
200,0,140.5,140.5,66.5269,5,5,0.791549,1,1.92422
201,0,77,77,48.2843,5,5,0.729858,1,1.74855
202,1,2,2,5.65685,6,14,1,1,999
203,0,310.5,310.5,87.4975,5,5,0.869748,1,2.29901
204,1,2,2,5.65685,17,10,1,1,999
205,0,88,88,44.6274,5,5,0.81106,0,1.78185
206,1,2,2,5.65685,10,15,1,1,999
207,2,2,2,5.65685,12,10,1,1,999
208,0,284,284,112.225,5,5,0.758344,1,2.93029
209,1,2,2,5.65685,24,24,1,1,999
210,2,2,2,5.65685,25,12,1,1,999
211,0,408,408,152.167,5,5,0.686869,0,1.81678
212,1,2,2,5.65685,21,34,1,1,999
213,2,2,2,5.65685,22,33,1,1,999
214,3,2,2,5.65685,32,27,1,1,999
215,4,2,2,5.65685,23,26,1,1,999
216,5,2,2,5.65685,17,25,1,1,999
217,6,2,2,5.65685,25,23,1,1,999
218,7,2,2,5.65685,8,20,1,1,999
219,8,16.5,16.5,19.8995,21,18,0.846154,0,2.90529
220,9,2,2,5.65685,12,18,1,1,999
221,10,2,2,5.65685,5,18,1,1,999
222,11,2,2,5.65685,17,17,1,1,999
223,12,2,2,5.65685,6,15,1,1,999
224,13,2,2,5.65685,7,14,1,1,999
225,0,194.5,194.5,75.8406,5,5,0.79065,1,2.82434
226,1,2,2,5.65685,10,11,1,1,999
227,0,32.5,32.5,29.5563,5,5,0.802469,1,2.47913
228,0,139,139,50.9706,5,5,0.911475,1,1.64098
229,0,5,5,10.8284,5,5,0.769231,1,2.28405
230,0,161,161,93.7401,5,5,0.612167,1,1.77316
231,1,2,2,5.65685,9,18,1,1,999
232,2,2,2,5.65685,10,17,1,1,999
233,3,2,2,5.65685,22,9,1,1,999
234,4,2,2,5.65685,23,8,1,1,999
235,5,2,2,5.65685,16,6,1,1,999
236,0,186,186,71.9411,5,5,0.879433,0,2.96327
237,0,25,25,23.3137,5,5,0.877193,0,1.8641
238,0,373,373,168.853,5,5,0.53592,0,1.8229
239,1,2,2,5.65685,27,34,1,1,999
240,2,4,4,7.65685,24,21,1,0,1.41421
241,3,2,2,5.65685,26,20,1,1,999
242,0,51,51,39.799,5,5,0.766917,0,2.10911
243,0,173.5,173.5,71.4975,5,5,0.698189,0,1.43944
244,0,109,109,52.6274,5,5,0.848249,0,2.49389
245,0,144,144,92.4264,5,5,0.62203,1,3.01881
246,0,59,59,48.2843,5,5,0.655556,0,1.39969
247,0,3,3,10.8284,5,5,0.857143,3,inf
248,0,9,9,16.4853,5,5,0.72,2,2.42685
249,0,485,485,129.196,5,5,0.795734,0,1.70627
250,1,2,2,5.65685,25,33,1,1,999
251,2,4,4,7.65685,28,28,1,0,1.41421
252,3,5.5,5.5,9.07107,16,26,1,1,1
253,4,2,2,5.65685,28,25,1,1,999
254,5,2,2,5.65685,21,11,1,1,999
255,0,604.5,604.5,217.865,5,5,0.576538,1,1.21391
256,1,2,2,5.65685,13,32,1,1,999
257,2,4,4,7.65685,9,22,1,1,1.41421
258,3,2,2,5.65685,29,20,1,1,999
259,4,2,2,5.65685,26,20,1,1,999
260,5,7,7,10.4853,22,20,1,0,1.29099
261,6,2,2,5.65685,45,19,1,1,999
262,7,2,2,5.65685,24,19,1,1,999
263,8,2,2,5.65685,44,18,1,1,999
264,9,2,2,5.65685,40,18,1,1,999
265,10,5.5,5.5,9.07107,27,18,1,1,1
266,11,2,2,5.65685,39,17,1,1,999
267,12,4,4,7.65685,33,17,1,0,1.41421
268,13,4,4,7.65685,22,16,1,0,1.41421
269,14,2,2,5.65685,10,16,1,1,999
270,15,2,2,5.65685,23,15,1,1,999
271,16,2,2,5.65685,20,15,1,1,999
272,17,2,2,5.65685,22,14,1,1,999
273,18,2,2,5.65685,10,14,1,1,999
274,19,2,2,5.65685,21,13,1,1,999
275,20,2,2,5.65685,22,12,1,1,999
276,21,2,2,5.65685,19,12,1,1,999
277,22,17,17,19.3137,9,12,0.894737,1,1.72155
278,23,2,2,5.65685,9,10,1,1,999
279,24,2,2,5.65685,8,9,1,1,999
280,25,2,2,5.65685,10,6,1,1,999
281,0,822,822,206.794,5,5,0.638199,0,1.56709
282,1,2,2,5.65685,14,46,1,1,999
